YEAR,OAK_PER10K,SFO_PER10K,SJC_PER10K
1990,1.976577556,1.060309275,4.064958029
1991,2.943107469,2.003732668,2.610398086
1993,1.774622893,2.419195681,4.812429819
1994,3.28440932,3.905196041,4.374619598
1995,3.178832006,3.855485758,3.451714351
1996,2.761084944,1.872063201,5.685999063
1997,3.21483562,2.904426225,6.673117347
1998,2.672796279,1.944165983,3.534363654
1999,2.153818541,4.476411128,3.66177413
2000,7.470206039,4.16656145,2.028015587
2001,6.012394783,4.296440774,3.38854401
2002,4.99264971,5.64732458,2.90373359
2003,6.925039485,3.774500553,6.216604254
2004,5.510653931,4.145355289,6.17020964
2005,8.186748837,4.742860073,6.15488775
2006,7.411649766,5.148683946,12.3298861
2007,8.224044914,3.435001481,9.16660301
2008,6.561764214,3.075818937,7.948599059
2009,8.536064874,4.00404981,11.64499933
2010,9.714127116,3.941419249,15.60806417
2011,11.51869573,4.315739502,12.16410483
2012,9.633082759,6.327143958,14.34262948
2013,11.25,3.630562175,26.53916171
