year,strikes,flights
1990,2.59412557,6919480
1991,3.437647895,6795344
1993,3.469210755,7217780
1994,3.392542994,7528276
1995,3.306256636,8090721
1996,3.450018224,8266623
1997,4.065831795,8246775
1998,4.424056023,8338502
1999,5.754118493,8724186
2000,6.412244348,9148123
2001,6.323146895,8976543
2002,6.300359489,9680400
2003,5.088554332,11567136
2004,5.267475398,12167119
2005,5.776856885,12273110
2006,5.902959464,11948244
2007,6.22857584,12099074
2008,6.417061962,11558249
2009,8.566962725,10775114
2010,8.871048812,10773247
2011,9.089952022,10752532
2012,9.964400688,10567620
2013,10.39841863,10440049
